,name_best_model,test_AUC,test_ACC,nb_informative_var,nb_selected_representations,selected_representations,selected_shema,nb_loop_rep_selection,run_time_on_dataset
ScreenType,Schema_All_in_one_N_features_30000_N_trees_0_,0.7482026666666667,0.5893333333333334,906,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,3592.356503009796
ShapeletSim,Schema_All_in_one_N_features_30000_N_trees_0_,0.9998148148148147,0.9833333333333333,9,3,"['TS', 'D', 'DD']",1,2,647.8490107059479
ShapesAll,Schema_One_each_N_features_30000_N_trees_0_,0.5087754237288136,0.825,24422,3,"['TS', 'D', 'DD']",0,2,77482.87996006012
SmallKitchenAppliances,Schema_All_in_one_N_features_30000_N_trees_0_,0.9394879999999999,0.808,19952,5,"['TS', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,3,8190.275908708572
SonyAIBORobotSurface1,Schema_All_in_one_N_features_30000_N_trees_0_,0.5,0.4292845257903494,0,7,"['ACF', 'TS', 'CUMSUM', 'D', 'DCUMSUM', 'DD', 'PS']",1,2,544.9716968536377
SonyAIBORobotSurface2,Schema_One_each_N_features_30000_N_trees_0_,0.9423679060665362,0.8520461699895068,10,2,"['TS', 'D']",0,2,576.0937166213989
StarLightCurves,Schema_All_in_one_N_features_30000_N_trees_0_,0.9934220450196724,0.9796017484215639,26663,3,"['TS', 'D', 'DD']",1,2,22752.68854546547
Strawberry,Schema_All_in_one_N_features_30000_N_trees_0_,0.9957698815566837,0.9771615008156607,10302,2,"['TS', 'D']",1,2,3247.549521446228
SwedishLeaf,Schema_All_in_one_N_features_30000_N_trees_0_,0.557106981351566,0.9328,26369,3,"['TS', 'D', 'DD']",1,2,17957.008085489273
Symbols,Schema_All_in_one_N_features_30000_N_trees_0_,0.965490139601297,0.8251256281407036,23,1,['D'],1,3,770.4515671730042
SyntheticControl,Schema_All_in_one_N_features_30000_N_trees_0_,0.9998133333333333,0.9833333333333333,23268,2,"['TS', 'ACF']",1,2,4660.359029531479
ToeSegmentation1,Schema_All_in_one_N_features_30000_N_trees_0_,0.7615740740740741,0.7631578947368421,1,2,"['TS', 'ACF']",1,2,730.1076729297638
ToeSegmentation2,Schema_One_each_N_features_30000_N_trees_0_,0.8630110062893082,0.8153846153846154,46,7,"['DCUMSUM', 'CUMSUM', 'DD', 'TS', 'D', 'ACF', 'PS']",0,2,725.6130986213684
Trace,Schema_All_in_one_N_features_30000_N_trees_0_,1.0,1.0,14724,2,"['TS', 'D']",1,2,1810.9865505695343
TwoLeadECG,Schema_One_each_N_features_30000_N_trees_0_,0.9832038355995438,0.9561018437225637,2,2,"['TS', 'D']",0,2,555.4456129074097
TwoPatterns,Schema_All_in_one_N_features_30000_N_trees_0_,0.9999996690800658,0.99875,5287,3,"['TS', 'D', 'DD']",1,2,8377.489301204681
UWaveGestureLibraryX,Schema_All_in_one_N_features_30000_N_trees_0_,0.9756879709564783,0.8182579564489112,26991,3,"['TS', 'D', 'DD']",1,2,19909.769557714462
UWaveGestureLibraryY,Schema_All_in_one_N_features_30000_N_trees_0_,0.9528863637774848,0.7163595756560581,27012,4,"['TS', 'D', 'DD', 'ACF']",1,3,25746.856428146362
UWaveGestureLibraryZ,Schema_All_in_one_N_features_30000_N_trees_0_,0.9647656112324856,0.7428810720268006,27347,3,"['TS', 'D', 'DD']",1,2,19677.256432533264
UWaveGestureLibraryAll,Schema_One_each_N_features_30000_N_trees_0_,0.9973378286458213,0.9692908989391401,21770,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",0,2,28090.346971273422
Wafer,Schema_All_in_one_N_features_30000_N_trees_0_,1.0,1.0,18762,7,"['PS', 'D', 'CUMSUM', 'DCUMSUM', 'DD', 'TS', 'ACF']",1,2,6311.676292419434
Wine,Schema_All_in_one_N_features_30000_N_trees_0_,0.5,0.5,0,7,"['TS', 'CUMSUM', 'DCUMSUM', 'ACF', 'D', 'DD', 'PS']",1,2,739.1591346263885
WordSynonyms,Schema_All_in_one_N_features_30000_N_trees_0_,0.590857862789741,0.5768025078369906,11324,3,"['TS', 'D', 'DD']",1,2,8212.496807813644
Worms,Schema_All_in_one_N_features_30000_N_trees_0_,0.8131321635761996,0.5469613259668509,1194,2,"['D', 'DD']",1,3,1624.1279110908508
WormsTwoClass,Schema_All_in_one_N_features_30000_N_trees_0_,0.637280701754386,0.6353591160220995,7,7,"['DD', 'D', 'TS', 'ACF', 'DCUMSUM', 'PS', 'CUMSUM']",1,2,1210.107102394104
Yoga,Schema_All_in_one_N_features_30000_N_trees_0_,0.9657805428600912,0.9013333333333333,81,2,"['D', 'DD']",1,3,3467.0586590766907
